Trial,Dose,Well,Minute,MD ,MV,TD
1,2,B3,9,0.166059524,4.981712542,295.918072
1,2,B3,10,0.187005773,5.610095997,333.057281
1,2,B3,11,0.183060993,5.491754631,327.679177
1,2,B3,12,0.163862648,4.915809601,291.511651
1,2,B3,13,0.154961008,4.64876566,277.070283
1,2,B3,14,0.183943008,5.51821158,327.234611
1,2,B3,15,0.185529307,5.565795563,326.53158
1,2,B3,16,0.150313896,4.50935598,268.460618
1,2,B3,17,0.132998043,3.989883934,232.613578
1,2,B3,18,0.150615835,4.518412668,264.180174
1,2,B3,19,0.161986872,4.859533607,289.632527
1,2,B3,20,0.168317252,5.049445651,288.327453
1,2,B3,21,0.175567359,5.266943423,313.387736
1,2,B3,22,0.176177477,5.285247434,313.067377
1,2,B3,23,0.149233297,4.476935351,263.844469
1,2,B3,24,0.148391791,4.451692135,261.317944
1,2,B3,25,0.134529545,4.035829809,239.597119
1,2,B3,26,0.226001846,6.779960769,5.876048
,,,,,,
1,2,B4,1,0.080307278,2.409185335,143.750027
1,2,B4,2,0.086921851,2.607620262,145.941788
1,2,B4,3,0.103218592,3.096512575,162.362846
1,2,B4,4,0.104860521,3.145770796,187.17603
1,2,B4,5,0.103959262,3.118734804,178.082216
1,2,B4,6,0.059419963,1.7825741,105.648695
1,2,B4,7,0.060254433,1.807605761,107.614417
1,2,B4,8,0.040535104,1.216036373,72.314625
1,2,B4,9,0.021868116,0.656033923,38.968983
1,2,B4,10,0.026559327,0.796768276,47.302162
1,2,B4,11,0.058707027,1.761188026,104.968165
1,2,B4,12,0.104764752,3.142899185,186.376494
1,2,B4,13,0.117131975,3.51390919,209.666235
1,2,B4,14,0.136670972,4.100070489,243.13766
1,2,B4,15,0.113775939,3.413232494,200.245653
1,2,B4,16,0.059556149,1.78665986,106.367283
1,2,B4,17,0.029557535,0.8867147,51.755244
1,2,B4,18,0.033296632,0.998884407,58.402292
1,2,B4,19,0.034432123,1.032950425,61.564636
1,2,B4,20,0.03547798,1.064324571,60.773779
1,2,B4,21,0.045607321,1.368200303,81.409068
1,2,B4,22,0.089607452,2.688186263,159.232442
1,2,B4,23,0.090259335,2.707741624,159.488245
1,2,B4,24,0.06839818,2.051916841,120.585991
1,2,B4,25,0.07433379,2.229982487,132.38848
1,2,B4,26,0.024245923,0.727363077,0.630394
,,,,,,
1,2,B5,1,0.01789202,0.536753184,32.026715
1,2,B5,2,0.016387993,0.491632228,27.515441
1,2,B5,3,0.013879437,0.416377076,21.832355
1,2,B5,4,0.016502732,0.495075249,29.457376
1,2,B5,5,0.022449219,0.673466328,38.455512
1,2,B5,6,0.061812871,1.854359792,109.903284
1,2,B5,7,0.068856843,2.065675073,122.978322
1,2,B5,8,0.033508543,1.005243105,59.779241
1,2,B5,9,0.011002012,0.330055617,19.605586
1,2,B5,10,0.019042474,0.571265463,33.914647
1,2,B5,11,0.0037625,0.112873788,6.734875
1,2,B5,12,0.006894696,0.206838404,12.265664
1,2,B5,13,0.010337707,0.310126693,18.504495
1,2,B5,14,0.01959567,0.587861062,34.860697
1,2,B5,15,0.016699733,0.500985023,29.42493
1,2,B5,16,0.018483244,0.55449014,33.011073
1,2,B5,17,0.011074287,0.332224409,19.391077
1,2,B5,18,0.037300449,1.118997668,65.424987
1,2,B5,19,0.046585122,1.397532668,83.294199
1,2,B5,20,0.054671472,1.640120806,93.652232
1,2,B5,21,0.033159913,0.994783322,59.190445
1,2,B5,22,0.044139799,1.324176382,78.436422
1,2,B5,23,0.064495181,1.934827,114.15647
1,2,B5,24,0.072343223,2.170267192,127.541103
1,2,B5,25,0.07384841,2.215422538,131.524019
1,2,B5,26,0.034343846,1.030300769,0.89294
,,,,,,
1,2,B6,1,0.170760492,5.122742201,305.661281
1,2,B6,2,0.200289647,6.008604556,336.286318
1,2,B6,3,0.17510331,5.253026122,275.437506
1,2,B6,4,0.185605779,5.568095182,331.306316
1,2,B6,5,0.187862546,5.635797402,321.808541
1,2,B6,6,0.16918196,5.075387705,300.805524
1,2,B6,7,0.192221471,5.766560571,343.307548
1,2,B6,8,0.189802003,5.69398708,338.606773
1,2,B6,9,0.180030493,5.400838614,320.814339
1,2,B6,10,0.189886586,5.69651662,338.188009
1,2,B6,11,0.184553051,5.536517869,329.980856
1,2,B6,12,0.185159979,5.554720545,329.399602
1,2,B6,13,0.185295273,5.558777271,331.307948
1,2,B6,14,0.20095751,6.028641992,357.101495
1,2,B6,15,0.188798456,5.663872639,332.662879
1,2,B6,16,0.181294329,5.438753108,322.522611
1,2,B6,17,0.155158848,4.654701795,271.372826
1,2,B6,18,0.167468671,5.023991097,293.070174
1,2,B6,19,0.164067231,4.921947693,293.024074
1,2,B6,20,0.18806772,5.641950473,322.160004
1,2,B6,21,0.176556105,5.296610062,314.799535
1,2,B6,22,0.173081923,5.192386614,307.220413
1,2,B6,23,0.182712053,5.481282907,323.034909
1,2,B6,24,0.169274377,5.078161004,298.430726
1,2,B6,25,0.196951358,5.908457886,350.376466
1,2,B6,26,0.125106038,3.753152692,3.252757
,,,,,,
1,2,C1,1,0.138387227,4.15155905,247.713136
1,2,C1,2,0.122265531,3.667915068,205.283827
1,2,C1,3,0.151705104,4.551088614,238.632129
1,2,C1,4,0.132487456,3.974566975,236.490109
1,2,C1,5,0.139481355,4.184380736,238.931561
1,2,C1,6,0.136566731,4.096946333,242.815648
1,2,C1,7,0.126183875,3.785462133,225.364401
1,2,C1,8,0.111664667,3.349890633,199.209766
1,2,C1,9,0.115625959,3.468730404,206.045459
1,2,C1,10,0.11017106,3.305083756,196.214657
1,2,C1,11,0.100652408,3.019529525,179.966505
1,2,C1,12,0.113430098,3.402855902,201.792145
1,2,C1,13,0.091449908,2.743459955,163.695335
1,2,C1,14,0.069710465,2.09128398,124.014918
1,2,C1,15,0.048990089,1.469682123,86.320537
1,2,C1,16,0.07676781,2.302999568,136.800237
1,2,C1,17,0.095559162,2.866734866,167.132975
1,2,C1,18,0.076360457,2.290780775,133.936242
1,2,C1,19,0.037310404,1.119296534,66.636381
1,2,C1,20,0.023596709,0.707891156,40.421163
1,2,C1,21,0.029939468,0.898170437,53.44195
1,2,C1,22,0.019434988,0.583041604,34.535974
1,2,C1,23,0.016214723,0.486435627,28.70006
1,2,C1,24,0.018298195,0.548939359,32.259717
1,2,C1,25,0.017576097,0.527275952,31.303029
1,2,C1,26,0.035516346,1.065475769,0.923425
,,,,,,
1,3,A1,1,0.109513081,3.285345244,191.100327
1,3,A1,2,0.126421572,3.792594045,219.088585
1,3,A1,3,0.136257371,4.087664752,230.819986
1,3,A1,4,0.143290663,4.298658091,252.191567
1,3,A1,5,0.135398059,4.061884628,240.196156
1,3,A1,6,0.119604336,3.588079197,211.58007
1,3,A1,7,0.132573545,3.977150485,234.920321
1,3,A1,8,0.151987657,4.559565281,267.346289
1,3,A1,9,0.162166745,4.864929667,287.359473
