Trial ,Well ,Dose ,Minute ,TD ,MV 
3,A4,1,19,33.7003,0.870795
1,A6,1,2,33.1427,0.556701
3,A5,1,1,32.8434,0.585784
1,A6,1,4,32.657,0.551012
3,B1,1,18,32.2787,0.549884
1,A6,1,5,32.1692,0.545541
3,B1,1,16,32.1158,0.570432
1,A6,1,3,30.7891,0.514288
2,A1,1,21,28.1019,0.486747
2,B3,1,10,27.6639,0.467552
3,B2,1,18,25.6259,0.431891
3,A5,1,14,25.5145,0.42929
3,A5,1,5,25.2972,0.432425
3,A6,1,20,22.4299,0.410548
3,A5,1,3,21.5264,0.366923
3,A5,1,4,18.569,0.319968
3,A6,1,19,18.439,0.476452
3,B1,1,14,17.9647,0.302262
3,B2,1,17,17.2361,0.290166
3,A5,1,15,17.2069,0.293462
3,A5,1,2,15.03,0.254025
2,B2,1,10,9.31791,0.156426
3,B1,1,17,9.03685,0.155537
2,A1,1,20,8.95037,0.153257
2,A1,1,14,8.94637,0.149854
2,A1,1,13,8.01901,0.135607
2,A1,1,15,7.45055,0.125148
2,A1,1,19,7.41402,0.128121
2,A1,1,25,6.86546,0.115904
2,A1,1,17,6.37887,0.107932
2,A1,1,24,2.29104,0.0385044
2,A1,1,18,1.41005,0.0237912
2,A1,1,16,0.880095,0.0155216
1,B3,2,19,965.702,25.9129
3,B5,2,6,511.392,10.5658
1,B3,2,11,495.078,8.45791
3,B5,2,14,454.455,7.72873
3,B5,2,9,451.06,8.92587
3,B5,2,10,450.431,7.96742
1,B3,2,10,424.983,7.31458
3,B3,2,6,417.487,7.21038
3,B5,2,8,415.798,7.8998
3,B5,2,20,413.439,8.313
3,B5,2,7,413.042,9.13796
1,B6,2,14,399.851,6.87807
3,C2,2,12,399.01,6.74373
3,B5,2,23,389.716,6.67694
3,C2,2,16,382.941,6.80977
3,C3,2,12,381.181,6.4424
3,B5,2,15,377.855,6.44427
1,C3,2,11,377.115,6.64706
3,C4,2,6,376.789,6.46653
3,C3,2,10,375.659,7.79905
3,C4,2,5,370.829,6.33887
3,C4,2,15,367.585,6.26912
1,C2,2,19,367.357,6.2263
1,B6,2,21,365.596,6.95923
3,B5,2,21,360.879,6.10616
3,C5,2,6,360.003,6.05717
1,B2,2,21,356.694,6.26135
3,C2,2,6,355.332,5.99202
3,C3,2,24,352.711,5.90797
1,B3,2,17,352.47,5.92378
1,B6,2,15,351.836,6.62582
3,B4,2,6,350.905,5.89747
3,C3,2,11,348.086,5.87313
1,B6,2,24,347.004,6.69883
3,B6,2,6,344.381,6.2919
1,B6,2,2,344.38,5.79757
1,C1,2,11,342.643,6.22978
1,B6,2,25,341.249,6.23847
3,B5,2,11,339.968,5.73616
1,B6,2,3,338.702,5.67649
3,B5,2,13,338.407,5.70021
1,B6,2,13,338.306,6.17337
3,C4,2,13,337.765,5.67347
1,B6,2,23,336.699,6.39293
3,C4,2,4,336.415,5.79685
3,C3,2,14,335.73,5.65512
3,B6,2,24,335.114,5.62894
2,B5,2,13,334.434,5.82969
1,C2,2,11,332.138,6.07191
1,B5,2,23,331.468,5.91898
1,C1,2,19,330.696,5.87721
3,B5,2,25,324.825,5.44391
3,C3,2,13,322.973,5.42499
3,C2,2,13,322.903,5.42383
1,B2,2,25,322.099,5.76886
1,C3,2,21,321.89,5.63394
3,B5,2,5,319.536,5.46207
3,C2,2,11,317.786,5.36189
3,B6,2,3,315.316,5.45836
1,B2,2,23,314.092,5.49744
3,C5,2,10,313.704,5.29302
3,C4,2,14,312.996,5.26627
1,B6,2,22,312.337,6.34394
3,B6,2,5,311.838,5.43581
3,B6,2,14,310.687,5.22742
3,B5,2,4,308.874,5.32228
1,B2,2,22,306.006,5.59078
