Trail,Dose,Well,Minute,MD,MV,TD
1,2,B5,10,0.058352204,1.750542247,101.007665
1,2,B5,11,0.119583679,3.587459254,213.337284
1,2,B5,12,0.126255772,3.787620222,221.705136
1,2,B5,13,0.13381968,4.014533261,239.269587
1,2,B5,14,0.14879028,4.463646487,249.074928
1,2,B5,15,0.172450585,5.173443053,305.065084
1,2,B5,16,0.077607718,2.32819874,137.986522
1,2,B5,17,0.092387492,2.771586659,164.819286
1,2,B5,18,0.112389666,3.371643288,200.278385
1,2,B5,19,0.117115314,3.513410887,208.582374
1,2,B5,20,0.12748184,3.824404149,227.045157
1,2,B5,21,0.154162903,4.624821544,273.639152
1,2,B5,22,0.15447511,4.63418964,274.502271
1,2,B5,23,0.156201948,4.685992453,276.946053
1,2,B5,24,0.147053302,4.411538434,261.019611
1,2,B5,25,0.1506015,4.517979859,267.317662
1,2,B5,26,0.216263308,6.487821538,5.622846
,,,,,,
1,2,B6,1,0.194392444,5.831692794,320.747533
1,2,B6,2,0.207910637,6.237229852,336.1915
1,2,B6,3,0.218251053,6.547440309,388.268623
1,2,B6,4,0.220554772,6.616554552,393.469713
1,2,B6,5,0.220528605,6.615767844,392.761445
1,2,B6,6,0.21312695,6.393721049,375.955939
1,2,B6,7,0.165129756,4.953826062,294.756615
1,2,B6,8,0.177469585,5.324010168,316.60574
1,2,B6,9,0.185035935,5.550999136,327.698641
1,2,B6,10,0.233411825,7.002255564,403.569046
1,2,B6,11,0.214554701,6.436553204,380.405485
1,2,B6,12,0.204362103,6.1307779,360.086025
1,2,B6,13,0.188967791,5.6689508,335.606797
1,2,B6,14,0.189138088,5.674063143,317.751988
1,2,B6,15,0.208412484,6.252289255,369.09851
1,2,B6,16,0.133640488,4.009156305,237.612787
1,2,B6,17,0.164771669,4.943078508,290.492453
1,2,B6,18,0.250064608,7.501836327,446.615389
1,2,B6,19,0.227298171,6.81885271,400.953974
1,2,B6,20,0.273850913,8.215410575,486.085371
1,2,B6,21,0.212500555,6.37493141,373.788477
1,2,B6,22,0.223414814,6.702346787,395.667635
1,2,B6,23,0.224581734,6.737358457,397.285087
1,2,B6,24,0.20266877,6.079978541,359.737066
1,2,B6,25,0.199350426,5.980427961,351.0561
1,2,B6,26,0.208999423,6.269901923,5.433985
,,,,,,
1,2,C1,1,0.173859297,5.215705492,286.520121
1,2,C1,2,0.164234533,4.926965185,265.731474
1,2,C1,3,0.179959094,5.398693723,320.507146
1,2,C1,4,0.16266778,4.879965821,289.223312
1,2,C1,5,0.168568572,5.056988652,300.220627
1,2,C1,6,0.096018239,2.880504457,169.760246
1,2,C1,7,0.114221002,3.426581841,204.11293
1,2,C1,8,0.068469838,2.054065727,122.424071
1,2,C1,9,0.047920028,1.437581731,85.01013
1,2,C1,10,0.04251333,1.27538175,73.590575
1,2,C1,11,0.165972774,4.979115733,295.59751
1,2,C1,12,0.175547491,5.2663498,307.734752
1,2,C1,13,0.180859968,5.425723178,322.654183
1,2,C1,14,0.173859617,5.215714323,290.34556
1,2,C1,15,0.179175031,5.37517511,316.243929
1,2,C1,16,0.107996669,3.239854167,191.802085
1,2,C1,17,0.122605277,3.678108145,218.727815
1,2,C1,18,0.120258753,3.607711743,214.541615
1,2,C1,19,0.139497864,4.184877185,248.724691
1,2,C1,20,0.155235232,4.656988743,275.387302
1,2,C1,21,0.186391863,5.591676252,329.727205
1,2,C1,22,0.152000476,4.559949706,268.432841
1,2,C1,23,0.178720827,5.361550057,314.191214
1,2,C1,24,0.161604838,4.848075506,285.878959
1,2,C1,25,0.172505748,5.175103201,304.472646
1,2,C1,26,0.251334577,7.53993,6.534699
,,,,,,
1,2,C2,1,0.188630164,5.658826448,311.239771
1,2,C2,2,0.219865597,6.595873558,355.962401
1,2,C2,3,0.196320223,5.889520567,349.646318
1,2,C2,4,0.186530997,5.595853324,332.771299
1,2,C2,5,0.180194132,5.405747535,320.925749
