Trial,Dose,Well,Minute,MD ,MV,TD
2,1,A3,9,0.084246252,2.527351433,149.368605
3,1,A3,9,0.039828543,1.194840577,69.739779
1,1,A3,10,6.664102727,199.9194273,73.30513
2,1,A3,10,0.079044299,2.371297187,139.671276
3,1,A3,10,0.048159526,1.444764168,85.964754
1,1,A3,11,6.96712678,209.0112683,285.652198
2,1,A3,11,0.2302043,6.90603419,406.540794
3,1,A3,11,0.101096013,3.032836087,175.70487
1,1,A3,12,8.36246,250.8686667,25.08738
2,1,A3,12,0.124462699,3.733827584,206.60808
3,1,A3,12,0.128489575,3.854634842,227.940506
1,1,A3,13,9.129693333,273.8896667,27.38908
2,1,A3,13,0.204438099,6.133054842,363.082064
3,1,A3,13,0.167364845,5.02087569,297.0726
1,1,A3,14,7.983066667,239.48885,47.8984
2,1,A3,14,0.187599876,5.627918517,332.61458
3,1,A3,14,0.147240541,4.417154465,261.499201
1,1,A3,15,7.282384,218.4682,36.41192
2,1,A3,15,0.181571115,5.447055264,320.109876
3,1,A3,15,0.153258206,4.597682236,272.799606
1,1,A3,16,7.808296667,234.2443333,46.84978
2,1,A3,16,0.0671194,2.013554017,118.465741
3,1,A3,16,0.103544531,3.106292841,180.063939
1,1,A3,17,4.304341429,129.1282286,30.13039
2,1,A3,17,0.070821374,2.124609892,124.928904
3,1,A3,17,0.047634207,1.42900589,64.782521
1,1,A3,18,8.23996125,247.1949,65.91969
2,1,A3,18,0.086466015,2.593941982,151.401992
3,1,A3,18,0.04712581,1.413756408,61.404931
1,1,A3,19,5.398908333,161.9641,32.39345
2,1,A3,19,0.084101008,2.522994289,144.906036
3,1,A3,19,0.047202311,1.416049804,84.35053
1,1,A3,20,5.331748182,159.9498818,58.64923
2,1,A3,20,0.096636733,2.89905884,169.887377
3,1,A3,20,0.049319966,1.479578774,87.29634
1,1,A3,21,8.719315273,261.5756091,191.824936
2,1,A3,21,0.1281972,3.845861625,221.652959
3,1,A3,21,0.108958174,3.268699989,193.836592
1,1,A3,22,7.912195,237.3608333,47.47317
2,1,A3,22,0.105175493,3.155221078,184.477814
3,1,A3,22,0.134728595,4.041799976,228.903883
1,1,A3,23,7.4289176,222.86476,37.144588
2,1,A3,23,0.113243334,3.397254526,198.402322
3,1,A3,23,0.135017703,4.050475367,235.74091
1,1,A3,24,7.5225125,225.673925,90.27015
2,1,A3,24,0.085052212,2.551530137,148.671266
3,1,A3,24,0.135596069,4.067825348,241.361003
1,1,A3,25,7.337708182,220.1273273,80.71479
2,1,A3,25,0.069314517,2.079406435,121.508348
3,1,A3,25,0.152879458,4.586319574,272.431194
1,1,A4,1,0.035775142,1.073239192,62.427622
2,1,A4,1,0.163471125,4.904062918,289.670834
3,1,A4,1,0.032443878,0.97330862,57.81499
1,1,A4,2,0.044177721,1.325312219,76.648346
2,1,A4,2,0.16636231,4.990799933,296.124911
3,1,A4,2,0.064825293,1.944733539,108.258239
1,1,A4,3,0.048920581,1.467596582,82.871465
2,1,A4,3,0.13430457,4.029083008,241.076704
3,1,A4,3,0.001700714,0.05102089,3.039176
1,1,A4,4,0.070264288,2.107898655,123.805676
2,1,A4,4,0.142017068,4.260454708,252.790381
3,1,A4,4,0.058251306,1.74751225,104.095083
1,1,A4,5,0.087641767,2.62921518,155.827062
2,1,A4,5,0.08368132,2.510402068,149.287474
3,1,A4,5,0.001595297,0.047858261,2.852391
1,1,A4,6,0.074933014,2.247958106,132.556501
2,1,A4,6,0.09050371,2.715073582,160.191566
3,1,A4,6,0.00552295,0.165685711,9.863988
1,1,A4,7,0.116506837,3.495155682,206.683129
2,1,A4,7,0.104079049,3.122328317,186.093339
3,1,A4,7,0.010150355,0.304506026,17.854475
1,1,A4,8,0.116880676,3.506367842,205.82687
2,1,A4,8,0.106279136,3.188328755,144.220787
3,1,A4,8,0.037290306,1.118693974,66.153002
1,1,A4,9,0.117194048,3.515773027,207.902242
2,1,A4,9,0.115783002,3.473440255,204.588564
3,1,A4,9,0.086017223,2.580480645,150.616158
1,1,A4,10,0.149381861,4.481394572,265.003422
2,1,A4,10,0.133334719,3.999980768,234.269102
3,1,A4,10,0.10801849,3.240508571,192.813004
1,1,A4,11,0.062478672,1.874333936,110.962122
2,1,A4,11,0.106186975,3.185563742,188.163319
3,1,A4,11,0.109018881,3.270521308,189.256778
1,1,A4,12,0.034618371,1.038536366,61.82841
2,1,A4,12,0.132966278,3.988931747,220.724021
3,1,A4,12,0.134716382,4.041434521,238.986862
1,1,A4,13,0.093174467,2.795195846,165.757376
2,1,A4,13,0.113823563,3.414661337,201.695354
1,1,A4,14,0.072082795,2.162453633,128.956121
2,1,A4,14,0.143849907,4.315440734,254.614335
3,1,A4,14,0.26842973,8.052778638,478.878638
1,1,A4,15,0.059211127,1.776310943,105.514228
2,1,A4,15,0.1324768,3.974244648,229.449818
1,1,A4,16,0.043824674,1.314721146,78.402342
2,1,A4,16,0.165093879,4.952748211,294.362387
3,1,A4,16,0.0983418,2.950211138,171.114732
1,1,A4,17,0.037481719,1.124436134,66.417606
2,1,A4,17,0.113834029,3.414972764,201.827733
3,1,A4,17,0.067082633,2.012450125,91.232381
1,1,A4,18,0.042729904,1.281878546,71.40167
2,1,A4,18,0.073663704,2.209879602,129.721783
3,1,A4,18,0.101577233,3.04727221,132.355134
