Trail,Dose,Well,Minute,MD,MV,TD
2,1,B3,23,0.13800824,4.140195868,225.78148
2,1,B1,9,0.128886499,3.86653779,225.680259
2,1,B3,9,0.125953533,3.778552954,225.582778
2,1,B5,24,0.126500628,3.794963843,224.159112
1,1,A3,23,0.127348209,3.820392615,224.0055
2,1,B5,8,0.126981007,3.809378432,223.486573
3,1,A1,21,0.127035192,3.810998868,223.327868
2,1,A1,14,0.147710476,4.431248682,223.042819
1,1,A2,21,0.127959711,3.838725719,222.393977
2,1,A3,5,0.157463651,4.723842141,221.393893
2,1,A3,1,0.137309378,4.119224086,220.106933
1,1,A1,15,0.123259852,3.697742871,219.402537
2,1,A3,16,0.126424373,3.792677935,218.587741
1,1,A3,4,0.121351355,3.640488916,217.218926
1,1,A5,16,0.126369959,3.791039311,216.47174
3,1,A4,3,0.125449078,3.763417709,214.643373
2,1,B3,12,0.121604899,3.64809532,214.632647
1,1,A6,20,0.121925482,3.657708312,213.125743
1,1,A5,22,0.15080941,4.524219624,212.792078
1,1,A3,5,0.118735126,3.56200307,211.585994
2,1,A4,18,0.120116226,3.603441318,211.404557
1,1,A5,25,0.138869483,4.16602729,210.109528
2,1,B1,18,0.118554528,3.556588288,209.130187
2,1,A3,15,0.157188152,4.715574567,206.859608
2,1,A6,5,0.11632867,3.489812752,206.716047
1,1,A2,23,0.120914992,3.627407892,206.522806
1,1,A4,13,0.130787447,3.923559471,205.074717
2,1,B2,7,0.11801829,3.540493308,204.761734
1,1,A5,14,0.144478843,4.334296771,204.004126
1,1,A1,21,0.117170719,3.515073504,203.994222
1,1,A2,11,0.11995181,3.598497473,203.678174
1,1,A2,13,0.121642813,3.64923448,203.386783
1,1,A4,22,0.12110545,3.633115248,202.851628
1,1,A5,15,0.131139508,3.934130499,202.217122
2,1,A6,18,0.117565945,3.526931153,201.978293
1,1,A2,12,0.116529659,3.495837148,201.829369
2,1,A1,25,0.127295075,3.818797294,200.871629
2,1,A5,15,0.119305579,3.579113125,200.433373
1,1,A5,20,0.121539672,3.646129994,200.418919
1,1,A5,4,0.118777179,3.563268683,200.258324
2,1,B3,22,0.119837054,3.59506897,198.929509
1,1,A1,23,0.113085324,3.392515639,198.351659
2,1,A4,23,0.111047662,3.331384627,197.997981
1,1,A1,17,0.111788542,3.35360591,197.865719
2,1,B2,12,0.11114001,3.334153688,197.384657
2,1,A5,6,0.112078537,3.362306298,197.370303
1,1,A2,17,0.112248131,3.367394534,197.332214
2,1,A5,12,0.111071219,3.332089009,197.262485
1,1,A4,8,0.116539973,3.496148759,197.185635
3,1,A2,23,0.110324516,3.309688696,195.495043
2,1,A2,23,0.109753933,3.292572203,195.252247
1,1,A5,3,0.113472587,3.404129593,195.172849
2,1,B1,4,0.143507567,4.305169211,194.739769
2,1,B1,22,0.10887619,3.26623689,194.670627
2,1,A2,6,0.115813409,3.474360149,193.755833
1,1,A2,15,0.116245375,3.487313279,193.199814
2,1,A1,19,0.109421756,3.282606122,193.019978
1,1,A2,3,0.110213239,3.306348565,192.762955
1,1,A3,1,0.121752201,3.652516758,191.516212
2,1,A3,6,0.125821427,3.774597507,190.745284
2,1,A5,18,0.108313183,3.249343777,190.414575
2,1,A1,9,0.107246399,3.21734618,190.362359
2,1,A6,8,0.107801366,3.233996048,189.838206
1,1,A2,5,0.110086861,3.302554399,189.679661
1,1,A3,2,0.11495381,3.448565146,188.524249
2,1,A2,14,0.109378892,3.281320215,188.459831
2,1,B2,8,0.106265562,3.187923187,186.708593
1,1,A4,2,0.105999637,3.179945957,186.135362
1,1,A1,14,0.109847024,3.295364362,185.861164
3,1,A2,3,0.133379814,4.001343283,185.264562
3,1,A2,1,0.104230716,3.126876759,185.217982
2,1,A1,6,0.103918811,3.117518878,184.248052
1,1,A2,24,0.109340775,3.280180863,183.801843
2,1,A5,14,0.104772323,3.143127034,183.665883
1,1,A2,4,0.104283131,3.128449932,183.538311
2,1,A6,9,0.102471601,3.074104947,182.706865
2,1,A1,22,0.110036247,3.301046759,182.330062
2,1,A5,13,0.101976501,3.059253182,182.028055
2,1,A1,24,0.111554894,3.346598998,181.388257
2,1,B5,7,0.103115385,3.093418076,181.173732
1,1,A2,2,0.101970587,3.059074545,180.58991
2,1,A5,22,0.100871107,3.026090464,180.357539
1,1,A6,17,0.102407556,3.072182449,180.237299
2,1,B4,1,0.11901387,3.570363873,180.067986
2,1,A1,4,0.139919635,4.197530841,179.656811
2,1,B1,2,0.187906001,5.637101866,179.262325
1,1,A5,2,0.10330253,3.099039543,178.610075
1,1,A2,1,0.10238187,3.071413119,178.553982
1,1,A1,16,0.099942288,2.998227227,176.598023
1,1,A5,5,0.103875938,3.1162344,176.589094
1,1,A4,3,0.100326832,3.009762094,175.872937
3,1,A3,20,0.130502258,3.915009154,174.220515
1,1,A1,1,0.09899824,2.969905393,173.84091
3,1,A4,11,0.096117915,2.883496982,171.666597
3,1,A1,14,0.096325177,2.889714893,171.651466
2,1,B3,17,0.097181872,2.915415569,170.651367
2,1,A6,19,0.096129896,2.883856866,170.534436
2,1,B1,20,0.096172742,2.885142869,169.264026
2,1,A6,11,0.095906812,2.877163286,168.987803
3,1,A5,3,0.121098194,3.632895018,168.447588
1,1,A1,2,0.094493376,2.834760827,168.009222
2,1,B3,2,0.168355701,5.050601769,167.513922
2,1,A1,17,0.094903871,2.847078218,166.651197
1,1,A4,5,0.096360941,2.890790168,166.608067
3,1,A2,22,0.09397643,2.81925366,165.868399
1,1,A4,15,0.103798193,3.113906435,165.661916
