Trail,Dose,Well,Minute,MD,MV,TD
1,2,B2,25,0.193247388,5.797341112,323.109633
1,2,B2,26,0.0785095,2.355247308,2.041247
,,,,,,
1,2,B3,1,0.109355276,3.280618172,193.230772
1,2,B3,2,0.097231,2.91689047,169.668095
1,2,B3,3,0.108194499,3.245790138,188.150234
1,2,B3,4,0.110013573,3.300360727,192.193712
1,2,B3,5,0.106111122,3.183290619,178.266685
1,2,B3,6,0.047684598,1.430518714,84.163315
1,2,B3,7,0.038721068,1.161615303,63.308946
1,2,B3,8,0.045175017,1.355232074,57.507797
1,2,B3,9,0.071807618,2.154198189,124.514409
1,2,B3,10,0.242535343,7.275959759,422.496568
1,2,B3,11,0.282930511,8.487776399,496.543046
1,2,B3,12,0.152058227,4.561682364,270.815702
1,2,B3,13,0.159496445,4.784824582,284.382162
1,2,B3,14,0.154746522,4.642322405,276.686781
1,2,B3,15,0.078356719,2.350670095,132.344498
1,2,B3,16,0.029225263,0.876743584,52.430122
1,2,B3,17,0.20443289,6.132899221,364.708276
1,2,B3,18,0.818376924,24.55095885,1124.449893
1,2,B3,19,0.919550802,27.5861431,1017.023187
1,2,B3,20,0.025756353,0.772680124,45.537232
1,2,B3,21,0.132801959,3.984004672,202.65579
1,2,B3,22,0.122275861,3.668224656,190.383515
1,2,B3,23,0.109542367,3.28622507,171.543346
1,2,B3,24,0.138237308,4.147060588,202.102945
1,2,B3,25,0.136380702,4.091362996,200.752394
1,2,B3,26,0.0849396,2.548183,1.698792
,,,,,,
1,2,B4,1,0.103504921,3.105102174,180.926602
1,2,B4,2,0.112547236,3.376368307,197.407852
1,2,B4,3,0.114651866,3.439508312,202.360543
1,2,B4,4,0.111559974,3.346751364,192.998755
1,2,B4,5,0.1152416,3.457198162,194.988788
1,2,B4,6,0.061471653,1.844125623,108.55894
1,2,B4,7,0.072665212,2.179925923,119.606939
1,2,B4,8,0.058002319,1.740044976,72.850913
1,2,B4,9,0.063105419,1.893136411,109.551008
1,2,B4,10,0.066302102,1.989034697,115.034147
1,2,B4,11,0.145063338,4.351835345,231.23096
1,2,B4,12,0.128951602,3.868493458,196.522241
1,2,B4,13,0.142187706,4.265570472,225.794077
1,2,B4,14,0.144135625,4.324012094,236.814832
1,2,B4,15,0.160461891,4.81378721,254.171635
1,2,B4,16,0.084716886,2.541470825,148.847569
1,2,B4,17,0.091028776,2.730825185,154.657891
1,2,B4,18,0.082223628,2.466671796,139.61572
1,2,B4,19,0.09635784,2.890699394,165.253696
1,2,B4,20,0.081003943,2.430086703,134.628554
1,2,B4,21,0.171581119,5.147358249,277.275089
1,2,B4,22,0.162357794,4.870662347,244.835554
1,2,B4,23,0.151481673,4.544384974,231.463997
1,2,B4,24,0.143493102,4.304731727,224.279718
1,2,B4,25,0.114587713,3.437582031,179.444359
1,2,B4,26,0.072724115,2.181698462,1.890827
,,,,,,
1,2,B5,1,0.128574572,3.857180902,225.134075
1,2,B5,2,0.117415327,3.522409129,207.590299
1,2,B5,3,0.119876999,3.596258892,210.983518
1,2,B5,4,0.128399926,3.851944294,220.976272
1,2,B5,5,0.114285287,3.428512243,195.656412
1,2,B5,6,0.109906091,3.297136825,193.874344
1,2,B5,7,0.067786614,2.033570426,112.864712
1,2,B5,8,0.078964197,2.368891576,100.679351
1,2,B5,9,0.080174411,2.405199692,140.625917
1,2,B5,10,0.081380845,2.441388331,139.975053
1,2,B5,11,0.131070338,3.932052071,214.562144
1,2,B5,12,0.127329004,3.819814205,203.471749
1,2,B5,13,0.143240362,4.297152167,241.932972
1,2,B5,14,0.158530354,4.755848473,267.916299
1,2,B5,15,0.134925194,4.047697084,210.078527
1,2,B5,16,0.125757816,3.772679635,220.57921
1,2,B5,17,0.09983493,2.995012274,167.722682
1,2,B5,18,0.097295567,2.918825352,160.343095
