Trial,Dose,Well,Minute,MD,MV,TD
1,8,B4,21,0.170862541,5.125797981,219.21664
3,8,B4,11,0.124615716,3.738418809,218.700582
3,8,B4,25,0.123792152,3.713712876,218.245564
3,8,C2,14,0.125978239,3.779295829,218.068332
1,8,C5,7,0.122271845,3.668105734,217.521612
1,8,C4,5,0.124064963,3.721894442,216.741491
1,8,C3,10,0.127387779,3.821580419,215.794898
3,8,B3,15,0.119916757,3.597452646,215.250578
3,8,C2,15,0.119602087,3.588011109,214.685746
3,8,B3,14,0.12239737,3.671869567,211.869847
1,8,B6,12,0.121044737,3.631291859,209.649484
3,8,B3,24,0.117072791,3.51213327,209.443223
3,8,B6,12,1.349393634,40.48128556,206.457226
3,8,B4,3,0.117963207,3.538846456,205.373943
3,8,B3,5,0.113679883,3.410348313,202.804912
1,8,B6,13,0.121258245,3.637696697,201.167428
1,8,C1,21,0.156540396,4.696144371,200.215166
1,8,B5,8,0.114127983,3.423789892,200.180483
1,8,C3,9,0.113762439,3.412826011,199.653081
1,8,B5,10,0.111400154,3.341954986,198.403674
1,8,C3,3,0.11245789,3.373688359,198.038345
1,8,B6,5,0.112579057,3.377322764,196.337876
3,8,B4,21,0.112601284,3.377995052,195.250626
1,8,B5,20,0.109894327,3.296783083,194.29317
1,8,C3,15,0.114875481,3.446216218,193.794937
1,8,C3,4,0.10846558,3.253925213,193.285664
1,8,C4,16,0.108546776,3.256366063,192.996168
1,8,C3,1,0.10800778,3.240190309,192.361856
1,8,B5,9,0.108192703,3.245734994,192.15024
1,8,C4,20,0.107587247,3.227572863,190.537014
1,8,B4,17,0.10498488,3.149498906,187.188041
3,8,B3,25,0.104515593,3.135422774,185.724208
1,8,C3,2,0.103766788,3.11295787,183.667214
3,8,B3,13,0.106902881,3.207042286,182.376315
3,8,B4,22,0.136727396,4.101764279,182.120892
3,8,B3,4,0.100654436,3.019590305,178.359661
1,8,C1,8,0.101302308,3.039029293,177.785551
3,8,B3,1,0.101460997,3.043786831,177.049439
3,8,B4,12,0.112644084,3.379274441,176.287992
1,8,C4,6,0.099921264,2.997592442,175.961346
3,8,B6,16,0.09997368,2.999167262,175.653756
1,8,C4,8,0.099883898,2.99647905,174.597053
1,8,B4,10,0.097331945,2.919916433,173.542858
1,8,C4,19,0.100129078,3.003831931,172.121885
3,8,B4,17,0.096507774,2.895192763,171.494315
1,8,C1,20,0.097756057,2.932642975,171.170855
1,8,C4,17,0.095607099,2.868173514,170.849886
1,8,C3,13,0.106488793,3.194619041,167.719849
1,8,B6,11,0.095208535,2.856217705,167.567022
1,8,B4,19,0.094952952,2.848549638,165.218136
1,8,C1,10,0.092066628,2.761960006,164.154797
3,8,B6,5,0.090861877,2.725817895,162.279313
3,8,B4,9,0.095626802,2.868766757,162.183057
3,8,B6,20,0.090857985,2.725702054,161.908929
1,8,C3,19,0.090724619,2.721707374,160.310401
1,8,C3,16,0.089043136,2.671254557,159.654342
3,8,B6,15,0.088831725,2.664913904,158.831125
1,8,C4,7,0.089045441,2.67132671,158.58993
3,8,B4,14,0.091624913,2.748710164,156.678602
1,8,B5,17,0.08912256,2.67364142,156.32097
3,8,C2,4,0.088207197,2.646179334,156.303153
3,8,B3,16,0.088207306,2.646183307,155.774102
3,8,B3,23,0.09159874,2.747925927,155.168265
3,8,B4,20,0.088746607,2.662362618,154.596589
1,8,C3,14,0.095680315,2.870371547,154.045307
3,8,B6,18,0.086508864,2.595229955,153.985778
1,8,C2,19,0.086681007,2.600397131,153.16534
3,8,B4,4,0.085399731,2.561956949,153.121718
3,8,B6,19,0.085526009,2.565747487,152.492874
1,8,B5,7,0.085278707,2.558325133,150.858032
3,8,B3,22,0.088066867,2.641969805,148.833005
3,8,B3,6,0.082660942,2.479793782,146.640511
1,8,B4,6,0.082104794,2.463105708,145.571799
3,8,B4,18,0.08088211,2.426428516,144.455449
1,8,C5,20,0.081215346,2.436426108,144.400886
3,8,B6,21,0.082808481,2.484219919,143.34148
1,8,B4,18,0.080975688,2.429239111,143.003065
1,8,C3,17,0.080031546,2.400908598,142.696246
3,8,C2,5,0.079468802,2.384031445,141.931281
3,8,B4,15,0.088831978,2.664920289,141.598173
3,8,B4,19,0.078909565,2.367256003,141.169211
3,8,B3,21,0.080966789,2.428969284,140.315445
1,8,C2,20,0.0793984,2.381918152,140.058777
3,8,B6,4,0.077390742,2.321688426,137.136395
3,8,B4,6,0.079327236,2.379784244,136.998136
1,8,C3,8,0.079478368,2.384317464,136.941228
3,8,B3,17,0.077058514,2.311723575,136.008277
3,8,B3,11,0.078067968,2.342005511,135.291789
3,8,C2,10,0.086799428,2.603948525,134.799512
1,8,C3,20,0.075977876,2.279305803,134.328884
3,8,C2,13,0.077996786,2.339870703,133.062517
1,8,B4,16,0.074931081,2.247895966,133.002668
3,8,B3,18,0.074427522,2.232794192,132.629844
3,8,B6,17,0.074757361,2.242691745,131.946742
3,8,B4,5,0.07618901,2.285637911,131.273665
1,8,B4,9,0.073494513,2.204805972,130.820233
3,8,B3,3,0.074993879,2.249784544,130.714331
3,8,C2,22,0.076144311,2.284297251,128.531597
3,8,C2,21,0.074208635,2.226228406,128.455147
3,8,B4,16,0.073179927,2.195368754,127.991692
3,8,C2,11,0.072019576,2.160558211,124.809925
1,8,B5,16,0.071317287,2.139490857,124.805253
3,8,B3,20,0.068139433,2.044153356,121.42447
1,8,C1,6,0.068623744,2.058682544,121.120909
3,8,B3,9,0.070098063,2.102913005,120.84906
3,8,C2,23,0.071146908,2.134377264,120.380568
3,8,B4,2,0.067106471,2.013165561,120.187689
1,8,C2,18,0.065940886,1.978202847,116.979132
3,8,B3,7,0.065447892,1.963408613,115.580977
3,8,B3,12,0.080972887,2.429154851,114.495662
3,8,C2,3,0.065493467,1.964776931,114.155113
3,8,C2,20,0.062502414,1.875046263,111.379301
3,8,B3,10,0.07149291,2.144756214,111.02849
1,8,C1,7,0.062242204,1.867240998,110.355428
3,8,B6,1,0.062551539,1.876519656,109.152435
3,8,B3,19,0.060808348,1.824224499,108.542902
1,8,C3,18,0.060703143,1.821067506,108.294408
3,8,B3,8,0.06672034,2.001581388,107.219587
3,8,C2,16,0.060629162,1.818850357,107.0711
1,8,C5,19,0.059716227,1.791461012,106.235168
1,8,C5,18,0.058840417,1.765188832,105.324347
1,8,C1,19,0.059803736,1.79408765,104.596734
3,8,C2,1,0.058963474,1.768877862,102.891262
1,8,B4,8,0.057958912,1.73874603,101.891767
1,8,B6,6,0.057355793,1.720650898,101.577109
1,8,B5,18,0.057069229,1.712054685,100.498913
3,8,C2,19,0.056267506,1.687999703,100.324964
1,8,C5,16,0.055802242,1.674044747,100.165024
3,8,C2,7,0.055373351,1.66117543,97.789338
3,8,C2,9,0.056238615,1.687134919,96.955372
3,8,C2,12,0.068287835,2.048608529,96.558999
3,8,C2,18,0.052725888,1.581753704,93.957533
3,8,C2,6,0.052855972,1.5856569,93.766495
3,8,B4,1,0.051584504,1.547514398,91.717248
1,8,C2,6,0.051610614,1.548298393,91.505619
1,8,B6,21,0.071144988,2.134324317,91.13673
3,8,C2,17,0.050711588,1.521324788,89.505952
3,8,B4,7,0.049522346,1.485650329,88.843089
1,8,C1,9,0.049952541,1.498557015,88.515902
3,8,C2,8,0.053610462,1.608291164,86.152012
1,8,C2,10,0.047914455,1.437414386,85.431474
3,8,B4,24,0.060235641,1.807043716,84.450368
1,8,C2,16,0.046842534,1.405256306,84.082349
3,8,C2,24,0.046955081,1.408631554,84.00264
1,8,C5,17,0.044706975,1.341190179,79.980779
1,8,B5,6,0.045611238,1.368319183,79.317943
1,8,C5,6,0.044529128,1.335854574,78.950144
